Brand,Model,Type
Chrysler,Aspen,SUV
Citroen,DS5,Crossover
Citroen,DS6,Crossover
Citroen,Mehari,Crossover
Citroen,DS3,Sedan
Citroen,DS4,Sedan
Citroen,DS4S,Sedan
Citroen,GSA,Sedan
Citroen,AX,Sedan
Citroen,BX,Sedan
Citroen,C-Zero,Sedan
Citroen,C1,Sedan
Citroen,C2,Sedan
Citroen,C3,Sedan
Citroen,Dyane,Sedan
Citroen,LN,Sedan
Citroen,Saxo,Sedan
Citroen,Visa,Sedan
Citroen,XM,Sedan
Citroen,Xantia,Sedan
Citroen,Xsara,Sedan
Citroen,ZX,Sedan
Citroen,DS2,Sedan
Citroen,Acadiane,LCV
Citroen,Berlingo,LCV
Citroen,C15,LCV
Citroen,Jumper,LCV
Citroen,Jumpy,LCV
Citroen,Nemo,LCV
Citroen,C4 Picasso,MPV
Citroen,C8,MPV
Citroen,Evasion,MPV
Citroen,Synergie,MPV
Citroen,Xsara Picasso,MPV
Citroen,C25,SUV
Citroen,DS9,Sedan
Citroen,GS,Sedan
Citroen,2CV,Sedan
Citroen,Ami,Sedan
Citroen,C3 Picasso,Sedan
Citroen,C4,Sedan
Citroen,C5,Sedan
Citroen,C6,Sedan
Citroen,CX,Sedan
Citroen,Elysée,Sedan
Citroen,LNA,Sedan
Citroen,GT,Sedan
Citroen,DS7,SUV
Citroen,C-Crosser,SUV
Citroen,C35,Van
CMC,D270,LCV
CMC,Super Veryca,LCV
CMC,D260,Van
CMC,Z7,SUV
Daewoo,G2X,Sedan
Daewoo,Korando,Crossover
Daewoo,Juliet,Sedan
Daewoo,Lanos 1,Sedan
Daewoo,Matiz,Sedan
Daewoo,Tico,Sedan
Daewoo,Damas,LCV
Daewoo,Istana,Van
Daewoo,Rezzo,MPV
Daewoo,Tacuma,MPV
Daewoo,Labo,SUV
Daewoo,Arcadia,Sedan
Daewoo,Chairman,Sedan
Daewoo,Cielo,Sedan
Daewoo,Espero,Sedan
Daewoo,Evanda,Sedan
Daewoo,Gentra,Sedan
Daewoo,Kalos,Sedan
Daewoo,Lacetti,Sedan
Daewoo,Lanos,Sedan
Daewoo,LeMans,Sedan
Daewoo,Leganza,Sedan
Daewoo,Magnus,Sedan
Daewoo,Nexia,Sedan
Daewoo,Nubira,Sedan
Daewoo,Prince,Sedan
Daewoo,Racer,Sedan
Daewoo,Statesman,Sedan
Daewoo,Super Salon,Sedan
Daewoo,Tosca,Sedan
Daewoo,Zaz,Sedan
Daewoo,Musso,SUV
Daewoo,Windstorm,SUV
Daihatsu,Copen,Sedan
Daihatsu,Fourtrak,Crossover
Daihatsu,Grand Terios,Crossover
Daihatsu,Applause,Sedan
Daihatsu,Bazar,Sedan
Daihatsu,Boon,Sedan
Daihatsu,Ceria,Sedan
Daihatsu,Cuore,Sedan
Daihatsu,Esse,Sedan
Daihatsu,Kancil,Sedan
Daihatsu,Leeza,Sedan
Daihatsu,Mira,Sedan
Daihatsu,Move,Sedan
Daihatsu,Perodua Viva,Sedan
Daihatsu,Sirion,Sedan
Daihatsu,Sonica,Sedan
Daihatsu,Storia,Sedan
Daihatsu,Trevis,Sedan
Daihatsu,Delta,LCV
Daihatsu,Atrai,MPV
Daihatsu,Materia,MPV
Daihatsu,Tanto,MPV
Daihatsu,Terios,MPV
Daihatsu,Xenia,MPV
Daihatsu,YRV,MPV
Daihatsu,Gran Max,SUV
Daihatsu,Alits,Sedan
Daihatsu,Charade,Sedan
Daihatsu,Charmant,Sedan
Daihatsu,Opti,Sedan
Daihatsu,Feroza,SUV
Daihatsu,Rocky,SUV
Daihatsu,Taft,SUV
Dayun,Yuehu,Crossover
Dayun,M1,MPV
Dayun,H8,Sedan
Dayun,Y6,Sedan
Dayun,Y7,Sedan
Dayun,H9,SUV
Dodge,Challenger,Sedan
Dodge,Stealth,Sedan
Dodge,Viper,Sedan
Dodge,Caliber,Sedan
Dodge,Daytona,Sedan
Dodge,Shadow,Sedan
Dodge,Caravan,LCV
Dodge,Grand Caravan,MPV
Dodge,Dakota,SUV
Dodge,Power Wagon,SUV
Dodge,Avenger,Sedan
Dodge,Charger,Sedan
Dodge,Dart,Sedan
Dodge,Dynasty,Sedan
Dodge,Intrepid,Sedan
Dodge,Magnum,Sedan
Dodge,Monaco,Sedan
Dodge,Neon,Sedan
Dodge,Spirit,Sedan
Dodge,Stratus,Sedan
Dodge,Durango,SUV
Dodge,Journey,SUV
Dodge,Nitro,SUV
Dodge,Ram,SUV
Dongfeng,AX7,Crossover
Dongfeng,EX1,Crossover
Dongfeng,H30 Cross,Crossover
Dongfeng,T5 EVO,Crossover
Dongfeng,T5 Evo Sport,Crossover
Dongfeng,Yuxan GS,Crossover
Dongfeng,Rich 6 SUV,SUV
Dongfeng,A30 E1,Sedan
Dongfeng,A30 E2,Sedan
Dongfeng,A30 Sport,Sedan
Dongfeng,A60,Sedan
Dongfeng,A60 Max,Sedan
Dongfeng,D60,Sedan
Dongfeng,E70,Sedan
Dongfeng,E70 Pro,Sedan
Dongfeng,S30,Sedan
Dongfeng,S60,Sedan
Dongfeng,AX7 PLUS,SUV
Dongfeng,Honda M-NV,SUV
Dongfeng,Rich 6 SUV,SUV
Dongfeng,T5L,SUV
Dongfeng,Venucia Star E4,SUV
Dongfeng,Yuxan A30,SUV
Dongfeng,M5,Van
Dorcen,G60,Crossover
Dorcen,G60E,Crossover
Dorcen,G70S,Crossover
Dorcen,E20,Sedan
Dorcen,H300,LCV
Dorcen,T5,SUV
Dorcen,T7,SUV
Dorcen,G60S,SUV
Ferrari,208,Sedan
Ferrari,246,Sedan
Ferrari,250,Sedan
Ferrari,308,Sedan
Ferrari,328,Sedan
Ferrari,330,Sedan
Ferrari,348,Sedan
Ferrari,355,Sedan
Ferrari,360,Sedan
Ferrari,360 Modena,Sedan
Ferrari,360 Spider,Sedan
Ferrari,365,Sedan
Ferrari,412,Sedan
Ferrari,430,Sedan
Ferrari,456,Sedan
Ferrari,456 GT,Sedan
Ferrari,458 Italia,Sedan
Ferrari,488,Sedan
Ferrari,512,Sedan
Ferrari,550 Barchetta,Sedan
Ferrari,550 Maranello,Sedan
Ferrari,575,Sedan
Ferrari,575 Maranello,Sedan
Ferrari,599 GTB,Sedan
Ferrari,599 GTB Fiorano,Sedan
Ferrari,612 Scaglietti,Sedan
Ferrari,California,Sedan
Ferrari,Dino,Sedan
Ferrari,Enzo,Sedan
Ferrari,F12,Sedan
Ferrari,F340,Sedan
Ferrari,F355,Sedan
Ferrari,F40,Sedan
Ferrari,F430,Sedan
Ferrari,F430 Scuderia,Sedan
Ferrari,F430 Spider,Sedan
Ferrari,F50,Sedan
Ferrari,FF,Sedan
Ferrari,FXX,Sedan
Ferrari,LaFerrari,Sedan
Ferrari,Mondial,Sedan
Ferrari,Testarossa,Sedan
Fiat,124,Sedan
Fiat,500C,Sedan
Fiat,Barchetta,Sedan
Fiat,Sedan,Sedan
Fiat,X 1/9,Sedan
Fiat,126,Sedan
Fiat,127,Sedan
Fiat,131,Sedan
Fiat,500,Sedan
Fiat,500e,Sedan
Fiat,600,Sedan
Fiat,750,Sedan
Fiat,Bolognese,Sedan
Fiat,Brava,Sedan
Fiat,Bravo,Sedan
Fiat,Cinquecento,Sedan
Fiat,Croma,Sedan
Fiat,Florida,Sedan
Fiat,Grande Punto,Sedan
Fiat,Nuova 500,Sedan
Fiat,Panda,Sedan
Fiat,Punto,Sedan
Fiat,Ritmo,Sedan
Fiat,Sedici,Sedan
Fiat,Seicento,Sedan
Fiat,Stilo,Sedan
Fiat,Uno,Sedan
Fiat,Zastava,Sedan
Fiat,Fiorino,LCV
Fiat,Doblo,MPV
Fiat,Idea,MPV
Fiat,Mulipla,MPV
Fiat,Ulysse,MPV
Fiat,Strada,SUV
Fiat,Albea,Sedan
Fiat,Argenta,Sedan
Fiat,Duna,Sedan
Fiat,Linea,Sedan
Fiat,Maria,Sedan
Fiat,Nove128,Sedan
Fiat,Palio,Sedan
Fiat,Petra,Sedan
Fiat,Regata,Sedan
Fiat,Siena,Sedan
Fiat,Tempra,Sedan
Fiat,Tipo,Sedan
Fiat,Dukato,Van
Fisker,Ocean,SUV
Force,Kargo King Grand,SUV
Force,Trax,SUV
Force,Traveller,Van
Ford,Bronco,Sedan
Ford,Thunder Bird,Sedan
Ford,Capri,Sedan
Ford,Cougar,Sedan
Ford,GT,Sedan
Ford,Puma,Sedan
Ford,Shelby,Sedan
Ford,T-Bucket,Sedan
Ford,Mustang,Sedan
Ford,Flex,Crossover
Ford,Mach-E,Crossover
Ford,Territory,Crossover
Ford,Aspire,Sedan
Ford,Focus,Sedan
Ford,Fox RS,Sedan
Ford,Fusion,Sedan
Ford,Ka,Sedan
Ford,Fiesta,Sedan
Ford,Aerostar,LCV
Ford,Courier,LCV
Ford,Econoline,LCV
Ford,Econovan,LCV
Ford,Freestar,LCV
Ford,Freestyle,LCV
Ford,Tourneo Connect,LCV
Ford,Transit,LCV
Ford,C-MAX,MPV
Ford,Galaxy,MPV
Ford,S-MAX,MPV
Ford,Windstar,MPV
Ford,Ranger,SUV
Ford,Sport Trac,SUV
Ford,Aurion,Sedan
Ford,Consul,Sedan
Ford,Contour,Sedan
Ford,Crown Victoria,Sedan
Ford,Escort,Sedan
Ford,Figo,Sedan
Ford,Five Hundred,Sedan
Ford,Granada,Sedan
Ford,LTD,Sedan
Ford,Laser,Sedan
Ford,Model 40,Sedan
Ford,Model A,Sedan
Ford,Mondeo,Sedan
Ford,Scorpio,Sedan
Ford,Sierra,Sedan
Ford,Taunus,Sedan
Ford,Taurus,Sedan
Ford,Tempo,Sedan
Ford,EcoSport,SUV
Ford,Edge,SUV
Ford,Escape,SUV
Ford,Everest,SUV
Ford,Excursion,SUV
Ford,Expedition,SUV
Ford,Explorer,SUV
Ford,Kuga,SUV
Ford,Maverick,SUV
Ford,F-150,SUV
Ford,F-250,SUV
Ford,F-350,SUV
Ford,F-450,SUV
Ford,F-550,SUV
Ford,Raptor,SUV
Ford,E-350,Van
Ford,E-450,Van
Foton,Aumark C,LCV
Foton,Aumark S,LCV
Foton,Aumark TX,LCV
Foton,Toano,LCV
Foton,Tornado,LCV
Foton,Gratour,MPV
Foton,Thunder,SUV
Foton,Tunland,SUV
Foton,Sauvana,SUV
Foton,Toplander,SUV
Foton,View C1,Van
Foton,View C2,Van
Foton,View CS2,Van
Foton,View Transvan,Van
Foton,View Traveller,Van
GAC,GS3,Crossover
GAC,GS5,Crossover
GAC,GN6,MPV
GAC,GN8,MPV
GAC,GA4,Sedan
GAC,GA6,Sedan
GAC,GA8,Sedan
GAC,GS4,SUV
GAC,GS8,SUV
Geely,Azkarra,Crossover
Geely,Coolray,Crossover
Geely,Emgrand X7,Crossover
Geely,GX2,Crossover
Geely,MK Cross,Crossover
Geely,HQ,Sedan
Geely,LC,Sedan
Geely,CK,Sedan
Geely,Emgrand 7,Sedan
Geely,Emgrand 8,Sedan
Geely,Emgrand GT,Sedan
Geely,GC2,Sedan
Geely,GC5,Sedan
Geely,GC6,Sedan
Geely,GC7,Sedan
Geely,SC7,Sedan
Geely,Okavango,SUV
GMC,Safari,LCV
GMC,Savana,LCV
GMC,Caballero,Sedan
GMC,Caprice,Sedan
GMC,Commodore,Sedan
GMC,Cruze,Sedan
GMC,Statesman,Sedan
GMC,Suburban,Sedan
GMC,Acadia,SUV
GMC,Envoy,SUV
GMC,Jimmy,SUV
GMC,Terrain,SUV
GMC,Typhoon,SUV
GMC,Yukon,SUV
GMC,Canyon,SUV
GMC,Sierra,SUV
GMC,Calais,SUV
GMC,Vandura,Van
Great Wall,Coolbear,Sedan
Great Wall,Florid,Sedan
Great Wall,Peri,Sedan
Great Wall,Sailor,Sedan
Great Wall,Cowry,MPV
Great Wall,Safe,SUV
Great Wall,Socool,SUV
Great Wall,Wingle,SUV
Great Wall,C 30,Sedan
Great Wall,Deer,Sedan
Great Wall,Voleex,Sedan
Great Wall,Hover,SUV
Great Wall,M2,SUV
Great Wall,M4,SUV
Great Wall,Pegasus,SUV
Hafei,Baili,Sedan
Hafei,Lobo,Sedan
Hafei,Zhongyi,Van
Hafei,Ruiyi,SUV
Hafei,Saibao,Sedan
Haval,F5,Crossover
Haval,H4,Crossover
Haval,H5,Crossover
Haval,H6,Crossover
Haval,H6 GT,Crossover
Haval,H6 Hev,Crossover
Haval,M6,Crossover
Haval,Poer Single Cab,SUV
Haval,F7,SUV
Haval,F7x,SUV
Haval,H1,SUV
Haval,H2,SUV
Haval,H2s,SUV
Haval,H7,SUV
Haval,H8,SUV
Haval,H9,SUV
Haval,Jolion,SUV
Haval,Dargo,SUV
Haval,Poer,SUV
Hawtai,A25,Crossover
Hawtai,A25 EV,Crossover
Hawtai,XEV 480,Crossover
Hawtai,Boliger 7,SUV
Hawtai,Boliger 7 EV,SUV
Honda,Beat,Sedan
Honda,S2000,Sedan
Honda,Accord Sedan,Sedan
Honda,NSX,Sedan
Honda,Prelude,Sedan
Honda,Z,Sedan
Honda,Crosstour,Crossover
Honda,CR-Z,Sedan
Honda,Capa,Sedan
Honda,Insight,Sedan
Honda,Jazz,Sedan
Honda,Logo,Sedan
Honda,Quintet,Sedan
Honda,SMX,Sedan
Honda,SRX,Sedan
Honda,Today,Sedan
Honda,Vamos,Sedan
Honda,Avencier,MPV
Honda,Edix,MPV
Honda,Elysion,MPV
Honda,LaGreat,MPV
Honda,Mobilio,MPV
Honda,Odyssey,MPV
Honda,Partner,MPV
Honda,Shuttle,MPV
Honda,Step WGN,MPV
Honda,Ridgeline,SUV
Honda,Accord,Sedan
Honda,Airwave,Sedan
Honda,City,Sedan
Honda,Civic,Sedan
Honda,Concerto,Sedan
Honda,Domani,Sedan
Honda,FCX Clarity,Sedan
Honda,Fit Aria,Sedan
Honda,Inspire,Sedan
Honda,Integra,Sedan
Honda,Legend,Sedan
Honda,Life,Sedan
Honda,Orthia,Sedan
Honda,Rafaga,Sedan
Honda,Stream,Sedan
Honda,That's,Sedan
Honda,Vigor,Sedan
Honda,CR-V,SUV
Honda,Crossroad,SUV
Honda,Element,SUV
Honda,HR-V,SUV
Honda,MDX,SUV
Honda,MR-V,SUV
Honda,Passport,SUV
Honda,Pilot,SUV
Honda,e:NP1,SUV
Honda,e:NS1,SUV
Hongqi,HS5,Crossover
Hongqi,H5,Sedan
Hongqi,H7,Sedan
Hongqi,H9,Sedan
Hongqi,E-HS9,SUV
Hongqi,HS7,SUV
Hummer,H1,Sedan
Hummer,H2,SUV
Hummer,H3,SUV
Hunaghai,N1,SUV
Hunaghai,N1s,SUV
Hunaghai,N2,SUV
Hunaghai,N3,SUV
Hunaghai,DD6534GL,Van
Hunaghai,DD6591DM,Van
Hyundai,Sedan,Sedan
Hyundai,Genesis Sedan,Sedan
Hyundai,Tiburon,Sedan
Hyundai,Tuscani,Sedan
Hyundai,Atos,Sedan
Hyundai,Click,Sedan
Hyundai,EON,Sedan
Hyundai,Getz,Sedan
Hyundai,Ioniq,Sedan
Hyundai,Veloster,Sedan
Hyundai,i10,Sedan
Hyundai,i20,Sedan
Hyundai,i30,Sedan
Hyundai,Mighty,LCV
Hyundai,Porter,LCV
Hyundai,Staria,LCV
Hyundai,H-1 Starex,Van
Hyundai,H100,Van
Hyundai,Entourage,MPV
Hyundai,Matrix,MPV
Hyundai,Trajet,MPV
Hyundai,Genesis,Sedan
Hyundai,Accent,Sedan
Hyundai,Avante,Sedan
Hyundai,Azera,Sedan
Hyundai,Centennial,Sedan
Hyundai,Elantra,Sedan
Hyundai,Equus,Sedan
Hyundai,Excel,Sedan
Hyundai,Pony,Sedan
Hyundai,Reina,Sedan
Hyundai,Santamo,Sedan
Hyundai,SSedan,Sedan
Hyundai,Sonata,Sedan
Hyundai,Stellar,Sedan
Hyundai,Tucson,Sedan
Hyundai,Verna,Sedan
Hyundai,i40,Sedan
Hyundai,Creta,SUV
Hyundai,Galloper,SUV
Hyundai,Kona,SUV
Hyundai,Palisade,SUV
Hyundai,Santa Fe,SUV
Hyundai,Terracan,SUV
Hyundai,Venue,SUV
Hyundai,Veracruz,SUV
Infiniti,E,Sedan
Infiniti,Q60,Sedan
Infiniti,Q30,Sedan
Infiniti,G,Sedan
Infiniti,J,Sedan
Infiniti,M,Sedan
Infiniti,I35,Sedan
Infiniti,Q40,Sedan
Infiniti,Q45,Sedan
Infiniti,Q50,Sedan
Infiniti,Q70,Sedan
Infiniti,EX,SUV
Infiniti,FX,SUV
Infiniti,JX35,SUV
Infiniti,QX4,SUV
Infiniti,QX50,SUV
Infiniti,QX56,SUV
Infiniti,QX60,SUV
Infiniti,QX70,SUV
Infiniti,QX80,SUV
Iran Khodro,Samand,Sedan
Iran Khodro,Tiba,Sedan
Isuzu,Trooper,Sedan
Isuzu,I-Mark,Sedan
Isuzu,Impulse,Sedan
Isuzu,Piazza,Sedan
Isuzu,Elf,LCV
Isuzu,FSR,LCV
Isuzu,Juston,LCV
Isuzu,Filly,MPV
Isuzu,D-Max,SUV
Isuzu,Faster,SUV
Isuzu,SUV,SUV
Isuzu,Aska,Sedan
Isuzu,Amigo,SUV
Isuzu,Ascender,SUV
